train_number,train_name,station_name,departure,source,destination
58220,Chirmiri Bilaspur Passenger Slip,Chirmiri,20:05:00,NA,NA
11044,MADURAI - MUMBAI LTT Exp,MADURAI JN,18:00:00,NA,NA
19572,Porbandar-Rajkot Express,PORBANDAR,14:35:00,NA,NA
12130,HOWRAH - PUNE Azad Hind SF Exp,HOWRAH JN,21:55:00,NA,NA
59806,Jaipur Bayana Fast Passenger,BAYANA JN,13:50:00,NA,NA
11037,PUNE - GORAKHPUR Exp,PUNE JN,16:15:00,NA,NA
58871,Balaghat Jabalpur Passenger,Balaghat Junction,20:45:00,NA,NA
12223,MUM LTT - ERNAKULAM AC Duronto,LOKMANYA TILAK TERM,20:50:00,NA,NA
56851,Nagore Trichy Passenger,Nagore,06:35:00,NA,NA
11068,FAIZABAD - MUMBAI LTT Saket Exp,FAIZABAD JN,15:35:00,NA,NA
52570,Dullabcherra Karimganj Passenger,Dullabcherra,05:15:00,NA,NA
15941,JHAJHA - DIBRUGARH Exp,JHAJHA,22:05:00,NA,NA
16527,Yesvantpur - Kannur Express,YESVANTPUR JN,20:00:00,NA,NA
12166,VARANASI - MUMBAI LTT Ratnagiri SF Exp,VARANASI JN,20:25:00,NA,NA
7606,Nizamabad-Kamareddi Special,NIZAMABAD,14:20:00,NA,NA
12692,SSP NILAYAM - CHENNAI SF Exp,SATYA SAI P NILAYAM,18:45:00,NA,NA
52951,Delvada Junagadh Passenger,Delvada,14:25:00,NA,NA
11056,GORAKHPUR - MUMBAI LTT Exp,GORAKHPUR JN,06:25:00,NA,NA
58719,ABHANPUR RAJIM PASS,Abhanpur Junction,08:30:00,NA,NA
11452,REWA - JABALPUR Intercity Exp,REWA,06:00:00,NA,NA
16360,PATNA - ERNAKULAM Express,PATNA JN,16:30:00,NA,NA
12245,HOWRAH - YESVANTPUR AC Duronto Exp,HOWRAH JN,11:00:00,NA,NA
19006,Saurashtra Mail,OKHA,12:25:00,Okha,Mumbai Central
52071,BARI SADRI - MAVLI PASSENGER,BARI SADRI,12:45:00,NA,NA
12127,MumbaiCST-Pune SF InterCity,MUMBAI CST,06:45:00,NA,NA
11003,DADAR - SAWANTWADI RD Rajya Rani Exp,MUMBAI DADAR CENTRAL,23:55:00,NA,NA
12570,Anand Vihar Terminus-Jaynagar Garib Rath Express,ANAND VIHAR TRM,17:00:00,NA,NA
12186,REWA - BHOPAL HABIBGANJ Rewanchal Exp,REWA,20:05:00,NA,NA
13133,Sealdah-Varanasi Express,KOLKATA SEALDAH,21:15:00,NA,NA
12133,MUMBAI CST - MANGALORE Exp,MUMBAI CST,22:15:00,NA,NA
18617,Howrah-Ranchi Intercity,HOWRAH JN,15:05:00,NA,NA
11090,PUNE - BHAGAT KI KOTHI Exp,PUNE JN,19:50:00,NA,NA
12142,PATLIPUTRA - MUMBAI LTT SF Exp,PATLIPUTRA,00:00:00,NA,NA
12236,NEW DELHI - DIBRUGARH Rajdhani Exp,NEW DELHI,09:30:00,NA,NA
54485,Haridwar Rishikesh Passenger,HARIDWAR JN,17:25:00,NA,NA
12235,DIBRUGARH - NEW DELHI Rajdhani Exp,DIBRUGARH,19:15:00,NA,NA
53446,Bhagalpur Mandar Hill Passenger,BHAGALPUR,18:30:00,NA,NA
2779,Vasco da Gama Bangalore Link Express,VASCO DA GAMA,15:10:00,NA,NA
55722,Balurghat Malda Town Passenger,BALURGHAT,17:05:00,NA,NA
11061,MUMBAI LTT - DARBHANGA Pawan Exp,LOKMANYA TILAK TERM,12:15:00,NA,NA
57264,Narasapur Visakhapatnam (LINK) Passenger,Narasapur,23:05:00,NA,NA
12145,MUMBAI LTT - PURI SF Exp,LOKMANYA TILAK TERM,20:35:00,NA,NA
55573,Raxaul Narkatiaganj Passenger,RAXAUL JN,19:15:00,NA,NA
11701,JABALPUR - INDORE Intercity Exp,JABALPUR,05:00:00,NA,NA
16204,Garudadri Express,TIRUPATI MAIN,06:20:00,NA,NA
12360,KOLKATA CHITPUR - PATNA Garib Rath Exp,PATNA JN,20:10:00,NA,NA
59216,Porbandar Bhanvad Passenger,PORBANDAR,19:05:00,NA,NA
12364,HALDIBARI - KOLKATA CHITPUR SF Intercity Exp,HALDIBARI,08:35:00,NA,NA
16713,Setu Express,CHENNAI EGMORE,17:00:00,NA,NA
11266,AMBIKAPUR - JABALPUR Exp,AMBIKAPUR,06:05:00,NA,NA
56137,Ooty-Mettupalayam Passenger,Udagamandalam,14:00:00,NA,NA
12318,AKAL TAKHT Express,AMRITSAR JN,06:05:00,NA,NA
12591,GORAKHPUR - YESVANTPUR SF Exp,GORAKHPUR JN,06:45:00,NA,NA
11094,VARANASI - MUMBAI CST Mahanagari Exp,VARANASI JN,11:25:00,NA,NA
47134,Lingampalli Hyderabad MMTS,LINGAMPALLI,10:25:00,NA,NA
12284,DELHI H NIZAMUDDIN - ERNAKULAM Duronto Exp,DELHI H NIZAMUDDIN,21:35:00,NA,NA
52226,Mailani Pilibhit Passenger,MAILANI,17:45:00,NA,NA
19065,MUMBAI BANDRA - BHAGAT KI KOTHI Exp,MUMBAI BANDRA TERMINUS,23:25:00,NA,NA
12653,Tiruchirappalli Mangalore Weekly Superfast Express,TIRUCHIRAPPALLI,18:00:00,NA,NA
12314,NEW DELHI - KOL SEALDAH Rajdhani Exp,NEW DELHI,16:30:00,NA,NA
59723,Rewari Sadulpur Passenger,REWARI,07:15:00,NA,NA
12326,NANGAL DAM - KOLKATA CHITPUR Gurumukhi Exp,NANGAL DAM,07:00:00,NA,NA
12362,MUMBAI CST - ASANSOL SF Exp,MUMBAI CST,11:05:00,NA,NA
12320,AGRA CANTT - KOLKATA CHITPUR SF Exp,AGRA CANTT,17:00:00,NA,NA
54160,Banda Jhansi Passenger,BANDA JN,17:50:00,NA,NA
11451,JABALPUR - REWA Intercity Exp,JABALPUR,17:05:00,NA,NA
6216,Nanjangud Town Mysore Passenger,NANJANGUD TOWN,17:30:00,NA,NA
12261,MUMBAI CST - HOWRAH AC Duronto Exp,MUMBAI CST,17:15:00,NA,NA
14260,LUCKNOW CHARBAGH - MUGHAL SARAI Ekatmata Exp,LUCKNOW,00:00:00,NA,NA
12202,KOCHUVELI - MUMBAI LTT Garib Rath Exp,KOCHUVELI,08:50:00,NA,NA
38468,Panskura Howrah EMU,PANSKURA,17:14:00,NA,NA
12218,CHANDIGARH - KOCHUVELI Kerala Sampark Kranti Exp,CHANDIGARH,09:00:00,NA,NA
56893,Thiruvarur Karaikkudi Passenger,THIRUVARUR JN,18:05:00,NA,NA
12222,HOWRAH - PUNE AC Duronto Exp,HOWRAH JN,08:20:00,NA,NA
56315,Tiruvananthapuram Nagercoil Passenger,TRIVANDRUM CENTRAL,17:15:00,NA,NA
12121,JABALPUR - DELHI H NIZAMUDDIN S Kranti Exp,JABALPUR,19:10:00,NA,NA
52474,Kangra Valley Rail Passenger,JOGINDER NAGAR,12:20:00,NA,NA
12185,BHOPAL HABIBGANJ - REWA Rewanchal Exp,HABIBGANJ,22:00:00,NA,NA
58835,Nagpur Ramakona Chhindwara Passenger,NAGPUR,16:00:00,NA,NA
56705,VILLUPURAM  - MADURAI PASSENGER,VILLUPURAM JN,14:50:00,NA,NA
52993,Mhow Akola Passenger,Mhow,20:50:00,NA,NA
12262,HOWRAH - MUMBAI CST AC Duronto Exp,HOWRAH JN,08:20:00,NA,NA
12638,MADURAI - CHENNAI EGMORE Pandiyan SF Exp,MADURAI JN,20:35:00,NA,NA
12181,JABALPUR - AJMER Dayodaya Exp,JABALPUR,20:25:00,NA,NA
57605,Secunderabad Vikarabad Passenger,SECUNDERABAD JN,08:10:00,NA,NA
12550,JAMMU TAWI - DURG SF Exp,JAMMU TAWI,05:00:00,NA,NA
